FrameNumber,Timestamp,NumPeople,Filename
0,0.000,3,"dataset/video_2/JPEGS/LeftBag0000.jpg"
1,0.040,3,"dataset/video_2/JPEGS/LeftBag0001.jpg"
2,0.080,3,"dataset/video_2/JPEGS/LeftBag0002.jpg"
3,0.120,3,"dataset/video_2/JPEGS/LeftBag0003.jpg"
4,0.160,3,"dataset/video_2/JPEGS/LeftBag0004.jpg"
5,0.200,3,"dataset/video_2/JPEGS/LeftBag0005.jpg"
6,0.240,3,"dataset/video_2/JPEGS/LeftBag0006.jpg"
7,0.280,3,"dataset/video_2/JPEGS/LeftBag0007.jpg"
8,0.320,3,"dataset/video_2/JPEGS/LeftBag0008.jpg"
9,0.360,3,"dataset/video_2/JPEGS/LeftBag0009.jpg"
10,0.400,3,"dataset/video_2/JPEGS/LeftBag0010.jpg"
11,0.440,3,"dataset/video_2/JPEGS/LeftBag0011.jpg"
12,0.480,3,"dataset/video_2/JPEGS/LeftBag0012.jpg"
13,0.520,3,"dataset/video_2/JPEGS/LeftBag0013.jpg"
14,0.560,3,"dataset/video_2/JPEGS/LeftBag0014.jpg"
15,0.600,3,"dataset/video_2/JPEGS/LeftBag0015.jpg"
16,0.640,3,"dataset/video_2/JPEGS/LeftBag0016.jpg"
17,0.680,3,"dataset/video_2/JPEGS/LeftBag0017.jpg"
18,0.720,3,"dataset/video_2/JPEGS/LeftBag0018.jpg"
19,0.760,3,"dataset/video_2/JPEGS/LeftBag0019.jpg"
20,0.800,3,"dataset/video_2/JPEGS/LeftBag0020.jpg"
21,0.840,3,"dataset/video_2/JPEGS/LeftBag0021.jpg"
22,0.880,3,"dataset/video_2/JPEGS/LeftBag0022.jpg"
23,0.920,3,"dataset/video_2/JPEGS/LeftBag0023.jpg"
24,0.960,3,"dataset/video_2/JPEGS/LeftBag0024.jpg"
25,1.000,3,"dataset/video_2/JPEGS/LeftBag0025.jpg"
26,1.040,3,"dataset/video_2/JPEGS/LeftBag0026.jpg"
27,1.080,3,"dataset/video_2/JPEGS/LeftBag0027.jpg"
28,1.120,3,"dataset/video_2/JPEGS/LeftBag0028.jpg"
29,1.160,3,"dataset/video_2/JPEGS/LeftBag0029.jpg"
30,1.200,3,"dataset/video_2/JPEGS/LeftBag0030.jpg"
31,1.240,3,"dataset/video_2/JPEGS/LeftBag0031.jpg"
32,1.280,3,"dataset/video_2/JPEGS/LeftBag0032.jpg"
33,1.320,3,"dataset/video_2/JPEGS/LeftBag0033.jpg"
34,1.360,3,"dataset/video_2/JPEGS/LeftBag0034.jpg"
35,1.400,3,"dataset/video_2/JPEGS/LeftBag0035.jpg"
36,1.440,3,"dataset/video_2/JPEGS/LeftBag0036.jpg"
37,1.480,3,"dataset/video_2/JPEGS/LeftBag0037.jpg"
38,1.520,3,"dataset/video_2/JPEGS/LeftBag0038.jpg"
39,1.560,3,"dataset/video_2/JPEGS/LeftBag0039.jpg"
40,1.600,3,"dataset/video_2/JPEGS/LeftBag0040.jpg"
41,1.640,3,"dataset/video_2/JPEGS/LeftBag0041.jpg"
42,1.680,3,"dataset/video_2/JPEGS/LeftBag0042.jpg"
43,1.720,3,"dataset/video_2/JPEGS/LeftBag0043.jpg"
44,1.760,3,"dataset/video_2/JPEGS/LeftBag0044.jpg"
45,1.800,3,"dataset/video_2/JPEGS/LeftBag0045.jpg"
46,1.840,3,"dataset/video_2/JPEGS/LeftBag0046.jpg"
47,1.880,3,"dataset/video_2/JPEGS/LeftBag0047.jpg"
48,1.920,3,"dataset/video_2/JPEGS/LeftBag0048.jpg"
49,1.960,3,"dataset/video_2/JPEGS/LeftBag0049.jpg"
50,2.000,3,"dataset/video_2/JPEGS/LeftBag0050.jpg"
51,2.040,3,"dataset/video_2/JPEGS/LeftBag0051.jpg"
52,2.080,3,"dataset/video_2/JPEGS/LeftBag0052.jpg"
53,2.120,3,"dataset/video_2/JPEGS/LeftBag0053.jpg"
54,2.160,3,"dataset/video_2/JPEGS/LeftBag0054.jpg"
55,2.200,3,"dataset/video_2/JPEGS/LeftBag0055.jpg"
56,2.240,3,"dataset/video_2/JPEGS/LeftBag0056.jpg"
57,2.280,3,"dataset/video_2/JPEGS/LeftBag0057.jpg"
58,2.320,3,"dataset/video_2/JPEGS/LeftBag0058.jpg"
59,2.360,3,"dataset/video_2/JPEGS/LeftBag0059.jpg"
60,2.400,3,"dataset/video_2/JPEGS/LeftBag0060.jpg"
61,2.440,3,"dataset/video_2/JPEGS/LeftBag0061.jpg"
62,2.480,3,"dataset/video_2/JPEGS/LeftBag0062.jpg"
63,2.520,3,"dataset/video_2/JPEGS/LeftBag0063.jpg"
64,2.560,3,"dataset/video_2/JPEGS/LeftBag0064.jpg"
65,2.600,3,"dataset/video_2/JPEGS/LeftBag0065.jpg"
66,2.640,3,"dataset/video_2/JPEGS/LeftBag0066.jpg"
67,2.680,3,"dataset/video_2/JPEGS/LeftBag0067.jpg"
68,2.720,3,"dataset/video_2/JPEGS/LeftBag0068.jpg"
69,2.760,3,"dataset/video_2/JPEGS/LeftBag0069.jpg"
70,2.800,3,"dataset/video_2/JPEGS/LeftBag0070.jpg"
71,2.840,3,"dataset/video_2/JPEGS/LeftBag0071.jpg"
72,2.880,3,"dataset/video_2/JPEGS/LeftBag0072.jpg"
73,2.920,3,"dataset/video_2/JPEGS/LeftBag0073.jpg"
74,2.960,3,"dataset/video_2/JPEGS/LeftBag0074.jpg"
75,3.000,3,"dataset/video_2/JPEGS/LeftBag0075.jpg"
76,3.040,3,"dataset/video_2/JPEGS/LeftBag0076.jpg"
77,3.080,3,"dataset/video_2/JPEGS/LeftBag0077.jpg"
78,3.120,3,"dataset/video_2/JPEGS/LeftBag0078.jpg"
79,3.160,3,"dataset/video_2/JPEGS/LeftBag0079.jpg"
80,3.200,3,"dataset/video_2/JPEGS/LeftBag0080.jpg"
81,3.240,3,"dataset/video_2/JPEGS/LeftBag0081.jpg"
82,3.280,3,"dataset/video_2/JPEGS/LeftBag0082.jpg"
83,3.320,3,"dataset/video_2/JPEGS/LeftBag0083.jpg"
84,3.360,3,"dataset/video_2/JPEGS/LeftBag0084.jpg"
85,3.400,3,"dataset/video_2/JPEGS/LeftBag0085.jpg"
86,3.440,3,"dataset/video_2/JPEGS/LeftBag0086.jpg"
87,3.480,3,"dataset/video_2/JPEGS/LeftBag0087.jpg"
88,3.520,3,"dataset/video_2/JPEGS/LeftBag0088.jpg"
89,3.560,3,"dataset/video_2/JPEGS/LeftBag0089.jpg"
90,3.600,3,"dataset/video_2/JPEGS/LeftBag0090.jpg"
91,3.640,3,"dataset/video_2/JPEGS/LeftBag0091.jpg"
