FrameNumber,Timestamp,NumPeople,Filename
0,0.000,0,"dataset/video_3/JPEGS/Walk1000.jpg"
1,0.040,0,"dataset/video_3/JPEGS/Walk1001.jpg"
2,0.080,0,"dataset/video_3/JPEGS/Walk1002.jpg"
3,0.120,0,"dataset/video_3/JPEGS/Walk1003.jpg"
4,0.160,0,"dataset/video_3/JPEGS/Walk1004.jpg"
5,0.200,0,"dataset/video_3/JPEGS/Walk1005.jpg"
6,0.240,0,"dataset/video_3/JPEGS/Walk1006.jpg"
7,0.280,0,"dataset/video_3/JPEGS/Walk1007.jpg"
8,0.320,0,"dataset/video_3/JPEGS/Walk1008.jpg"
9,0.360,0,"dataset/video_3/JPEGS/Walk1009.jpg"
10,0.400,0,"dataset/video_3/JPEGS/Walk1010.jpg"
11,0.440,0,"dataset/video_3/JPEGS/Walk1011.jpg"
12,0.480,0,"dataset/video_3/JPEGS/Walk1012.jpg"
13,0.520,0,"dataset/video_3/JPEGS/Walk1013.jpg"
14,0.560,0,"dataset/video_3/JPEGS/Walk1014.jpg"
15,0.600,0,"dataset/video_3/JPEGS/Walk1015.jpg"
16,0.640,0,"dataset/video_3/JPEGS/Walk1016.jpg"
17,0.680,1,"dataset/video_3/JPEGS/Walk1017.jpg"
18,0.720,1,"dataset/video_3/JPEGS/Walk1018.jpg"
19,0.760,1,"dataset/video_3/JPEGS/Walk1019.jpg"
20,0.800,1,"dataset/video_3/JPEGS/Walk1020.jpg"
21,0.840,1,"dataset/video_3/JPEGS/Walk1021.jpg"
22,0.880,1,"dataset/video_3/JPEGS/Walk1022.jpg"
23,0.920,1,"dataset/video_3/JPEGS/Walk1023.jpg"
24,0.960,1,"dataset/video_3/JPEGS/Walk1024.jpg"
25,1.000,1,"dataset/video_3/JPEGS/Walk1025.jpg"
26,1.040,1,"dataset/video_3/JPEGS/Walk1026.jpg"
27,1.080,1,"dataset/video_3/JPEGS/Walk1027.jpg"
28,1.120,1,"dataset/video_3/JPEGS/Walk1028.jpg"
29,1.160,1,"dataset/video_3/JPEGS/Walk1029.jpg"
30,1.200,1,"dataset/video_3/JPEGS/Walk1030.jpg"
31,1.240,1,"dataset/video_3/JPEGS/Walk1031.jpg"
32,1.280,1,"dataset/video_3/JPEGS/Walk1032.jpg"
33,1.320,1,"dataset/video_3/JPEGS/Walk1033.jpg"
34,1.360,1,"dataset/video_3/JPEGS/Walk1034.jpg"
35,1.400,1,"dataset/video_3/JPEGS/Walk1035.jpg"
36,1.440,1,"dataset/video_3/JPEGS/Walk1036.jpg"
37,1.480,1,"dataset/video_3/JPEGS/Walk1037.jpg"
38,1.520,1,"dataset/video_3/JPEGS/Walk1038.jpg"
39,1.560,2,"dataset/video_3/JPEGS/Walk1039.jpg"
40,1.600,2,"dataset/video_3/JPEGS/Walk1040.jpg"
41,1.640,2,"dataset/video_3/JPEGS/Walk1041.jpg"
42,1.680,2,"dataset/video_3/JPEGS/Walk1042.jpg"
43,1.720,2,"dataset/video_3/JPEGS/Walk1043.jpg"
44,1.760,2,"dataset/video_3/JPEGS/Walk1044.jpg"
45,1.800,2,"dataset/video_3/JPEGS/Walk1045.jpg"
46,1.840,2,"dataset/video_3/JPEGS/Walk1046.jpg"
47,1.880,2,"dataset/video_3/JPEGS/Walk1047.jpg"
48,1.920,2,"dataset/video_3/JPEGS/Walk1048.jpg"
49,1.960,2,"dataset/video_3/JPEGS/Walk1049.jpg"
50,2.000,2,"dataset/video_3/JPEGS/Walk1050.jpg"
51,2.040,2,"dataset/video_3/JPEGS/Walk1051.jpg"
52,2.080,2,"dataset/video_3/JPEGS/Walk1052.jpg"
53,2.120,2,"dataset/video_3/JPEGS/Walk1053.jpg"
54,2.160,2,"dataset/video_3/JPEGS/Walk1054.jpg"
55,2.200,2,"dataset/video_3/JPEGS/Walk1055.jpg"
56,2.240,2,"dataset/video_3/JPEGS/Walk1056.jpg"
57,2.280,2,"dataset/video_3/JPEGS/Walk1057.jpg"
58,2.320,2,"dataset/video_3/JPEGS/Walk1058.jpg"
59,2.360,2,"dataset/video_3/JPEGS/Walk1059.jpg"
60,2.400,2,"dataset/video_3/JPEGS/Walk1060.jpg"
61,2.440,2,"dataset/video_3/JPEGS/Walk1061.jpg"
62,2.480,2,"dataset/video_3/JPEGS/Walk1062.jpg"
63,2.520,3,"dataset/video_3/JPEGS/Walk1063.jpg"
64,2.560,3,"dataset/video_3/JPEGS/Walk1064.jpg"
65,2.600,3,"dataset/video_3/JPEGS/Walk1065.jpg"
66,2.640,3,"dataset/video_3/JPEGS/Walk1066.jpg"
67,2.680,3,"dataset/video_3/JPEGS/Walk1067.jpg"
68,2.720,3,"dataset/video_3/JPEGS/Walk1068.jpg"
69,2.760,3,"dataset/video_3/JPEGS/Walk1069.jpg"
70,2.800,3,"dataset/video_3/JPEGS/Walk1070.jpg"
71,2.840,3,"dataset/video_3/JPEGS/Walk1071.jpg"
72,2.880,3,"dataset/video_3/JPEGS/Walk1072.jpg"
73,2.920,3,"dataset/video_3/JPEGS/Walk1073.jpg"
74,2.960,3,"dataset/video_3/JPEGS/Walk1074.jpg"
75,3.000,3,"dataset/video_3/JPEGS/Walk1075.jpg"
76,3.040,3,"dataset/video_3/JPEGS/Walk1076.jpg"
77,3.080,3,"dataset/video_3/JPEGS/Walk1077.jpg"
78,3.120,3,"dataset/video_3/JPEGS/Walk1078.jpg"
79,3.160,3,"dataset/video_3/JPEGS/Walk1079.jpg"
80,3.200,3,"dataset/video_3/JPEGS/Walk1080.jpg"
81,3.240,3,"dataset/video_3/JPEGS/Walk1081.jpg"
